compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
"(1R, 2S, 5R) - (-) - Menthol",-0.20973197,0.060322747,-0.046029326,0.042187206,0.037841402,-0.20556325,0.24403049,-0.1808949,0.052822407,-0.34243706,-0.66743463,-0.83572894,-0.16532165,-0.28322276,-0.1727121,-0.21280575,-0.41213623,-0.043646183,0.0005874816,0.032003153,-0.784758,-0.3554091,0.5968886,0.3763355,0.7517857,0.6284371,0.06372577,0.13521726,-2.2477486,-1.7998205,5.1800942,0.32327417,1.301177,0.47184065,0.40601707,-0.26765406,-0.48971605,0.089188285,-0.44767466,-0.18905406,-0.118250966,0.3014307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(S)-(+)-Camptothecin,-0.23306498,0.01616126,-0.129817,0.18986635,0.05645667,0.13719861,-0.18527277,0.19473098,0.17541084,-0.26425657,-0.15030028,-0.049556397,0.31877938,-0.028041199,0.0962236,0.2927194,0.3981562,0.16071278,-0.03648167,0.36689737,-0.09599671,-0.15026155,0.0648159,-0.12859628,0.24483524,0.44603887,0.18153176,-0.13082524,-0.08355065,-0.23644724,0.45390695,0.4790994,-0.43726578,0.70196575,-0.4032905,0.092461854,0.59565675,0.14231332,-0.9623704,-0.266268,-0.0103517575,1.0489343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-10 Phenanthroline monohydrate,-0.5956256,0.18915512,-0.110565536,-0.10408849,-0.05105616,-0.0958455,0.1171015,-0.11215615,0.18286802,-0.37511903,-0.24983062,-0.111592196,0.0791709,0.15327758,0.011747025,-0.16134426,-0.09577149,-0.1154443,0.324519,0.3134746,-0.28905898,0.21220751,0.185774,-0.15576264,0.20918636,0.16452488,-0.8145531,0.8131069,-0.59356546,-0.28708753,-0.7807347,1.4933589,-1.9456099,4.994803,-2.0097303,1.2701284,-0.33153528,0.38454142,-1.0390271,-0.16320635,-0.008107457,0.64053035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Hydroxytamoxifen,-0.5544376,0.18115278,-0.20182166,-0.24836795,-0.1483283,-0.4655731,-0.26279727,-0.44591862,0.23359568,0.42012414,0.94198245,0.11218129,-0.38003117,-0.77009046,-0.5244352,0.5941757,-0.11371196,-0.1470056,0.58811206,-0.70892006,-0.15793005,1.4071393,0.10676257,-0.6343273,0.9327967,1.3332158,-2.3220007,-1.9998316,1.9046572,0.8757762,0.877634,-0.19172141,0.755701,-0.38302326,-3.4070835,-2.246994,-0.5110116,-0.3826608,0.27709466,0.0650773,-0.38534653,0.009828157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abietic acid,-0.1747399,0.072684556,-0.11043072,0.18782982,0.25145432,-0.012093959,0.455817,0.51731074,0.34373087,0.30357975,-0.268514,-0.3297396,-0.12157462,-0.28758445,0.18926321,0.07447812,0.13573231,-0.25420472,0.14737226,-0.0006750674,-0.21548986,-0.101576276,0.28890917,0.081147395,-0.16161373,-0.14792891,0.10470778,0.100730225,0.07384386,-0.25356668,0.15622088,0.05591545,0.02759189,-0.14563023,0.05086985,0.04761546,0.058096174,0.79464275,0.36228946,0.20557283,0.38244763,-0.26622117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amiodarone hydrochloride,-0.5212915,0.3071903,-0.2360895,-0.4048248,-0.1615429,-0.75699276,-1.1551063,-1.1635252,0.7650763,1.4954597,4.372529,-1.9177096,1.474345,1.0619367,1.4282204,-0.7671405,0.15017462,0.47142446,-0.7621828,-0.2764176,0.6814103,-1.1214862,0.21431547,0.43480256,-0.6469449,0.23536122,1.3846182,0.5535997,-0.5513231,0.11749377,0.034277085,0.047740076,0.0502823,0.16635378,-0.44529206,-0.6470028,-0.030113705,-0.12713279,0.06276027,-0.14888929,0.052239537,-0.089754984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphotericin B,2.161125,-2.4402227,-1.8736198,-1.4040594,-1.7380425,0.2665535,-0.19288644,0.17216899,-0.32294658,0.13234401,-0.01099758,0.045910224,-0.03000158,-0.04070069,-0.12789778,-0.06867165,0.1233212,0.040665865,0.028044354,0.18363175,0.09566628,0.10369651,0.11317288,-0.38137725,0.09631042,0.036071733,-0.02371668,0.053734507,0.019308267,0.03368251,0.1852406,-0.26556513,-0.13913792,0.113616936,-0.2083185,-0.20114599,0.10721162,0.084075436,0.0927689,0.074640274,4.6996818,-0.02952095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisomycin,-0.25721076,0.10396788,0.23029524,-0.08091831,-0.14552845,0.12199459,0.60601074,0.33371678,0.6431115,0.17217234,-0.13210648,0.00078265223,-0.10674544,-0.5410673,-0.88121206,-0.27360258,-0.710604,-1.2332021,0.8918868,-0.6557945,-1.4769218,-1.260043,3.5162082,-1.2505168,-2.7722328,-1.9567817,1.4060316,-1.9579333,0.17212813,0.97648245,0.08184163,0.07285587,0.22122541,0.12074554,-0.4235611,0.41638,-0.1380497,-0.12452893,0.10902712,0.018398533,0.0064123916,0.042406958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemisinin,0.017525494,0.1088647,-0.34181505,0.36228102,0.6561145,0.049867287,0.521544,0.55594456,-0.4086008,-0.37740856,-0.94601023,-1.3937335,-0.22334349,-0.41315117,0.6782441,-0.8746168,-2.7963958,0.84628105,-2.9567573,0.5121552,3.4625971,1.7909253,1.353425,-0.24835284,-0.6072622,-0.6672271,-0.28736898,-0.4859061,0.51375574,-0.2385986,-0.041562814,0.08166712,0.016599758,-0.006528249,0.05153286,-0.08557833,-0.04388684,0.015584005,-0.119098924,-0.042569976,-0.024719382,0.105707735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brefeldin A,0.05877845,-0.1305518,-0.4770057,0.05589511,0.6393199,-0.19876906,-0.046282567,0.3206608,-0.016437164,-0.12569495,-0.60956025,-0.74890924,-0.31721976,-0.20321299,0.08384226,0.14745604,-0.31666765,-1.2195868,-0.12233615,0.27183896,-0.78180176,-0.56361103,-0.27527553,5.716749,-1.5110556,0.20560186,-0.7088743,-0.29456797,1.0955393,0.30975693,-0.19201414,0.12409147,-0.057894055,-0.14286985,-0.14365938,-0.03661844,-0.09256719,-0.46324676,-0.25446856,-0.073676564,0.31789255,0.1032012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
