compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
"(1R, 2S, 5R) - (-) - Menthol",1.184138,0.4245321,-0.22439629,0.6195913,1.0037168,-0.6278417,-2.1476536,-0.57817763,0.89074355,2.4683263,0.7023132,-0.1509704,2.6104445,1.439607,1.6336529,-0.008447761,-0.3912755,-1.0167207,2.553172,-0.41959125,0.061603926,-0.64233655,-1.3793337,0.21269105,-0.63150823,0.18905221,-1.3590863,-0.4925595,-0.7968317,0.50141984,-0.5163619,-0.37885368,0.03514018,0.5358487,-0.4419272,-0.03381628,-0.2437818,-0.071469925,-0.12094914,-0.20369515,-0.047271665,0.053900994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(S)-(+)-Camptothecin,-0.46228173,0.5553863,0.090254314,0.18028183,0.5780593,0.25445804,0.9699033,0.5664645,-0.116550185,0.7586323,-0.05782778,-0.086022146,-0.96216446,0.2857757,0.39070576,0.15074916,0.5449404,0.5074016,-0.30257866,0.8328223,-0.007381404,-0.09773412,-0.010199674,-0.63911456,0.3236587,0.12623477,-0.46446314,1.4756777,0.819564,0.26204523,0.14023155,0.5537572,0.0756074,-0.061215058,-0.107260704,-0.17015854,-0.54244137,-0.22329317,-0.6251139,-0.33973598,-0.63405883,0.07258459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-10 Phenanthroline monohydrate,-1.7535688,1.0073551,-0.6059068,0.43313715,-0.9640189,0.015645044,0.51528025,-0.22160006,0.08699887,1.0459718,0.37620085,-0.73204273,-0.5309068,3.849383,0.45374897,0.079332195,-0.6235242,0.57277673,-0.99992377,-1.0802681,-0.27781463,0.93671817,-0.3724073,-1.2455283,1.3120893,0.30248424,-0.23075113,1.8879241,-0.17047341,-0.5710851,1.5169328,1.8173687,-0.36377367,0.6998079,0.7106075,-0.20746903,0.35101587,0.08110033,-0.025010189,-0.37645817,-0.80265105,0.12644054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Hydroxytamoxifen,-0.7963712,0.73543954,-0.788209,0.21202813,-0.57339156,0.41569367,-0.6545335,-0.5924787,-0.082273915,0.6026844,0.57811534,0.7907533,-0.2994381,-1.7097309,-0.2800065,0.18438275,-0.7907962,0.1295346,-0.13264568,-0.7804761,0.8500413,-0.0097434735,0.61524695,0.13798583,-1.4461671,0.13496546,-1.0744144,0.65008575,0.5060263,-1.8429183,0.41067144,-0.61752325,0.010898055,0.41626883,-0.041243758,0.93153226,-0.42087936,-0.7436825,-2.4492328,2.7694836,-2.948692,-0.09039502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abietic acid,0.761359,0.26462635,0.16568913,0.1744358,1.2497469,0.005429224,-0.8790959,0.26299956,0.36744285,-0.10880697,0.9455215,0.32082143,0.8554706,-0.3086046,0.8088344,-1.0789819,-0.5050986,0.59903264,-0.7273687,0.18149412,0.06614654,-0.079159185,0.8738311,-0.69089127,-0.037885476,0.41384348,-0.93972397,-0.05292082,0.058358777,-0.20074496,-0.11316548,-0.14756045,-0.2583709,-0.4738933,-0.37627164,0.1714161,0.43465763,0.16327293,0.33536905,0.29837352,-0.353853,0.41438857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amiodarone hydrochloride,-0.6494209,0.2993047,-0.4365076,-0.117322885,0.2718507,0.5392352,-0.9083676,-0.09421624,0.41323322,-0.17080532,0.7238645,-0.19015004,0.20808592,-0.7721228,-2.126221,0.61181074,-1.1706924,1.3296183,1.5701048,1.7311691,0.732002,-0.93200696,1.2136103,-0.8966117,-0.04103044,-1.179236,1.2238373,1.9640751,-1.6986269,2.8393583,0.117469184,0.40226632,-0.9342248,0.584652,0.73455375,-0.19353597,-0.8507946,0.58262193,-0.59998214,-0.5483469,-0.29959252,0.18246777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amphotericin B,1.3075849,0.06993677,0.14906842,-0.66634977,-1.4748677,0.62895244,0.056518734,-0.26825514,0.18694612,-0.8592841,-0.30851686,0.28391278,0.33429572,0.17190816,-0.8941235,0.6717208,-0.19266771,-0.10007426,0.75830245,0.08533118,0.4834855,0.7508839,0.5524791,-0.20911893,0.71563476,1.2866641,-0.2670776,0.58124405,-1.2919438,-1.4510972,-0.29903358,-0.2594687,0.68649673,-0.05638981,-1.2165477,0.23547594,-0.57633185,-1.5855196,0.4859915,-0.45911208,0.6180357,4.5675845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisomycin,0.1023898,0.27082995,-0.02484704,0.84981,0.38513425,0.24787492,0.80026376,-0.8785935,1.323526,-0.7573707,-0.9630445,-1.3345897,-2.4019427,-0.81257814,0.39345312,-0.2011505,-0.61621654,-0.34664467,-0.30778596,0.11165438,-0.91971207,-0.4753061,-2.7378788,1.1224713,-0.45126086,1.0276726,-0.7627221,0.33232865,-2.7021563,-0.096958615,0.15156233,-1.1402512,-0.96511394,0.061315827,1.8083159,-1.1180093,-0.7175623,-0.68272275,0.013087267,0.43761802,0.46856987,-0.21006712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemisinin,0.9483177,0.17272717,1.3632737,0.22282806,1.6474147,0.75156975,-0.37948737,1.0595561,1.8959846,0.32864484,-0.46421212,-1.7917073,0.14572445,-0.6719294,-0.97952646,-1.289908,-2.2539415,-0.8028778,-1.3252116,-0.348934,0.9238506,-1.1614419,0.46178815,-1.5721356,1.2893242,1.7160162,0.5214634,-0.37966868,1.5933293,-0.7007968,-0.5823076,0.38406613,0.8856624,0.99789643,0.19779617,0.11045574,-0.70012176,0.8903193,0.43270737,0.13695277,-0.1746467,-0.110278755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brefeldin A,0.9169695,0.16334409,0.41893053,-0.22770208,0.95808107,0.4701981,-1.2432344,-1.2941415,0.629062,-2.423426,0.04619581,1.480425,0.7476932,0.50714386,0.6841917,-1.8641204,1.6350127,-1.681709,-1.667492,1.22299,1.6727576,1.2737948,-0.100728475,-0.17762633,0.6407852,-1.3094392,-0.39171433,0.23286347,-0.8039034,-0.23051043,1.0107205,0.28575343,-1.4449105,0.93218285,-0.25423497,-0.16450004,-0.1372733,1.2314498,-0.038929272,0.44093335,-0.41070044,0.0018990536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHX,0.75560904,0.30391976,0.34964383,1.6083801,1.4352365,-1.0428193,-0.25142652,-1.0036472,0.69511384,-0.256422,-0.028765963,-1.3557159,-0.6755359,0.16767846,0.70375425,3.5844607,0.8770064,-0.3158662,0.45660052,-0.3303287,0.7497647,0.95179653,2.1328037,0.9661203,1.1746143,-0.734473,1.2725091,-0.6894742,0.9256319,-0.30807155,1.0339317,-0.8397094,0.124070436,-0.39075702,0.76422024,-1.3044318,-0.13145235,-0.3426595,0.4048273,0.35248768,-0.660541,0.067242965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cisplatin,-1.274425,-2.9300447,1.778804,0.050633084,-0.4611877,-1.8102264,-3.5580797,1.236812,0.13325831,0.6119283,-1.7458465,1.123921,-1.6186036,0.35319272,-1.0383879,0.33081973,0.26180014,-0.16735455,-0.13092741,-0.0885921,0.24155876,0.84375143,-0.67429924,0.030443529,-0.27240965,0.37104312,0.052361853,0.2556687,0.04778232,0.1251794,-0.035062075,0.32814267,0.17314012,-0.4402412,0.3435553,0.18257397,0.24983948,-0.32326886,0.08330362,0.043299768,-0.0529085,0.03259833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clomiphene citrate,-0.04868894,0.19681473,-1.0605083,-0.35494182,-0.90253663,0.30313456,-0.6077389,0.10514442,-0.8269946,-0.38529098,-0.23455302,0.23343842,0.55265194,-1.2469131,0.7036813,-0.02444171,-1.4267464,0.47716972,0.15338218,-0.4074777,0.04463406,0.8686721,-0.4374136,-0.41410506,-0.36919838,0.8602061,0.7693684,-0.6390808,0.011696963,0.398913,0.8727819,-1.3499438,-1.1842253,0.32609493,0.13539888,0.49972653,1.6066835,0.23094295,4.176336,-0.73705816,-2.3303742,-0.32256007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clotrimazole,-1.857065,1.1353415,-0.7648541,-0.37376478,-0.7979366,0.50161433,-0.64335907,-0.8425848,0.5230345,0.51502085,0.27065623,0.1791293,1.0203588,-0.45334834,-0.6499444,1.0363402,-1.6259806,-1.27837,-1.1867044,-0.54529345,0.5548624,1.6939107,-0.13576874,0.68941236,-1.15758,-0.21258044,0.8162838,-0.035021152,0.25759554,-0.8415214,-0.7741444,-1.1662968,-0.11913406,-1.2244103,0.33729422,-0.10407615,0.57523775,2.1521199,-0.5839253,-0.64743215,3.0550694,-0.052417275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclopiazonic acid,-0.20906061,0.2578756,0.30192176,0.44760385,0.2157229,0.44141516,0.94649565,0.96013296,0.43863574,0.773371,-0.64444274,-0.47605026,-0.1514024,0.3310657,0.7441489,0.21273232,0.8558451,1.2290322,-0.43263757,1.3649021,1.8792629,-0.17012542,-1.7430099,-2.4386904,0.7363082,-0.989439,0.05926958,0.14955378,-0.27931345,0.39367974,0.09461739,-2.4995828,0.76949275,-2.6489809,-1.5524465,0.5680335,1.1933882,-0.10719213,-0.69177043,0.40518004,-0.27499098,-0.05800934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desipramine hydrochloride,-1.5149064,0.28139377,-0.2747351,-1.1494309,-0.3196174,0.791849,-1.1385475,-0.16930215,0.3387283,-0.55057114,0.5660582,-1.4263346,-0.12543415,0.3961461,0.550858,-0.11587323,0.9339674,-0.045452245,0.21693492,3.1198661,-2.2527058,0.19482297,0.266064,0.4860846,0.39400867,1.1123328,-1.0922917,0.058320183,2.6531925,0.50402504,0.8399439,-1.7174633,-0.07900646,0.78832227,-0.1311859,0.9902873,-0.81399393,-0.78600985,-0.19516775,-0.16302928,0.573877,0.021249738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline hyclate,0.788762,0.17625733,0.079740636,0.26188207,-0.5179222,-0.26191613,0.497172,0.4760641,-0.72545505,-0.15034036,-0.47961655,0.865652,0.89261574,-0.29734528,-0.35783473,0.12781973,-0.13241315,0.85219955,0.7127614,0.8487584,1.0252098,0.3022648,-0.5589852,-0.50262326,0.28326628,0.41167176,0.4530131,-0.32225695,0.20383514,0.4939773,-0.5563161,-0.25787053,0.01067594,-0.50790036,1.0355747,0.004815595,0.5704347,0.5898036,-0.05646702,-0.004793876,-0.32588342,-0.16345197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dyclonine hydrochloride,-0.0786536,0.13842021,-0.73645073,-1.0831393,1.5637474,0.09842211,-0.92088556,-0.18544674,-0.50027764,0.31537786,1.4177145,0.39698514,-1.9694988,-1.9944786,1.1094769,-1.5557413,-0.56317574,0.32845512,1.612229,-0.81334984,-1.3654857,0.9690985,-0.11009376,-0.3390885,1.8140885,-1.1572361,0.25238922,-0.05053064,-0.53140604,-0.9154454,1.6368308,0.7380323,2.132467,-0.66485554,-0.48069778,-0.24783021,0.4754798,0.590388,-0.44279808,-0.8743204,0.6306501,0.15519454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDTA,0.5216774,-2.087362,-2.6701837,0.8855356,0.51986766,0.73945314,-1.3726422,0.7033504,-2.8686903,-1.2753085,-0.5979741,-1.8629725,1.1542035,0.38950709,0.679666,0.35262862,-0.819033,1.13802,-1.4491032,0.0024465485,0.35242665,-1.1909034,-0.114912935,1.1428902,0.9214555,-0.4939824,-0.52022374,0.10384638,-0.46099746,-0.5720261,-0.5734203,0.38413823,0.3088425,-0.26223323,0.03261907,0.18693832,-0.24054357,0.27523434,-0.48158687,0.49359116,0.6135129,0.050652195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emodin,-0.09170836,0.43571585,0.100592874,1.7850163,1.2473701,-0.062196445,0.89885664,-0.24896313,-1.7167016,-0.038451944,0.20828083,1.9048879,0.6745659,0.010971417,-0.757042,-1.554848,0.28067774,1.3111762,1.5158647,0.4985572,1.7471576,0.8773655,-0.27595052,0.24423851,0.39176202,2.0816858,-0.2663891,0.23496772,1.5749707,-0.07195518,0.2538287,0.020145612,-0.13790369,-0.6635535,2.5932987,-0.33965147,0.15008338,-1.0240695,0.13063698,0.291284,1.4678946,-0.124175005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCCP,-0.85465664,-0.02775428,0.063604206,0.21766117,-1.0544094,-2.328199,0.47240308,0.44525096,2.5522838,-1.6951144,-0.5820297,-0.22644809,1.9799446,-0.3847484,0.11001398,-1.6089696,0.3522715,2.6422424,-0.08489472,-2.0205004,-0.50626045,-0.19122057,0.9878586,0.8296369,0.35530365,-0.9541143,-1.0703236,0.04252817,0.007924056,0.3767207,0.31634867,-1.1218753,0.79810077,0.18640085,0.24364318,-0.15804084,-0.25278285,0.18996803,0.029306056,-0.04276497,0.34773308,0.022485148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluconazole,-1.1805568,0.38588697,0.018746423,0.8262082,-0.89209044,-0.106150776,0.2582673,-0.38787255,0.959021,-0.65009433,0.025063537,-0.27396575,-0.0014697731,-0.4380323,0.040828645,0.15242276,0.36110052,-0.37541345,0.21113996,-0.8772108,0.26453394,-0.38327375,-0.38947487,-0.40818822,-0.23737216,-1.3821968,-1.0162555,0.3184025,0.36393607,-0.09092996,-0.14219269,0.48433432,0.03126027,-0.7029786,-0.32337448,0.38899308,-0.39058954,-0.027987096,0.50285125,0.10256195,1.3432087,-0.14048189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G418,0.7103115,-0.51067233,0.057635367,1.4618851,-0.69867396,0.7680577,0.4996885,-0.5359146,1.6439984,0.010043163,-1.1968776,-0.17327349,0.053340483,-0.3326662,-1.5737813,1.4728135,0.5768117,-1.1166996,1.6541871,0.39231488,1.2307153,-0.7843535,0.13055147,0.3076067,0.6134688,-0.44149855,0.5840154,1.359904,-0.2998023,-0.027599132,0.33378005,0.9108851,0.34068137,-1.0702887,-1.4124103,0.18294749,0.48629242,0.16917153,-0.3973286,0.85682654,0.57099897,-0.25440377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geldanamycin,1.0012512,0.11262408,-0.120345816,0.09479113,-1.1808125,-0.6581897,0.32896057,-0.819299,0.24361427,0.28946558,-0.06531797,1.2958848,-0.9901672,0.2290708,-0.13211608,1.2939402,-0.45570728,0.9833844,-0.25343984,1.5330995,-0.026641736,-1.3482944,0.45709065,-0.6794978,0.35416302,0.05348908,-1.0794532,-1.9784913,-0.6267239,-0.12554482,0.2305507,0.3822911,1.0634215,2.6255412,0.5385869,0.59333813,2.9165173,1.0462961,-0.17383344,1.1653371,1.4745299,-0.28081515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2O2,-0.19471467,-2.6740563,-0.21507932,-0.013695609,0.5580562,1.1635576,-1.7489791,1.1236525,-1.121439,-2.5050063,-0.20417865,-0.5557644,2.9868171,-0.1881416,-1.7484328,-0.16160831,-5.483961,-1.331605,-1.0185068,-1.4216001,1.018725,2.357337,2.1621745,2.0418668,0.16081917,-0.51631916,-0.6129201,-1.2218746,1.8379353,0.8564322,-0.25072423,0.49573067,-0.33887333,1.4709245,0.5350571,0.8569698,-0.5574243,0.3191967,-1.2290853,-1.5814003,0.5555106,-0.07512629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
