compound,query,smiles
"(1R, 2S, 5R) - (-) - Menthol",(-)-menthol,CC1CCC(C(C1)O)C(C)C
(S)-(+)-Camptothecin,(S)-(+)-camptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
1-10 Phenanthroline monohydrate,"1,10-phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
4-Hydroxytamoxifen,4-Hydroxytamoxifen,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
Abietic acid,Abietic acid,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C
Amiodarone hydrochloride,amiodarone hydrochloride,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl
Amphotericin B,Amphotericin B,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
Anisomycin,Anisomycin,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O
Artemisinin,Artemisinin,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
Brefeldin A,Brefeldin A,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O
CHX,cycloheximide,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
Cisplatin,Cisplatin,N.N.Cl[Pt]Cl
Clomiphene citrate,clomiphene citrate,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Clotrimazole,Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Cyclopiazonic acid,Cyclopiazonic acid,CC(=O)C1=C(C2C3C(CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O
Desipramine hydrochloride,desipramine hydrochloride,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
